_id,car_model,car_ID,year,mileage,sec_status,price
5eb697b6bbb13e40ab836568,2002 Infiniti G,NG-476324,2002," 93,872 Km",Nigerian Used,"₦ 378,000"
5eb697b6bbb13e40ab836569,2009 Toyota Corolla,NG-461391,2009," 171,836 Km",Foreign Used,"₦ 2,919,500"
5eb697b7bbb13e40ab83656a,2016 Toyota Avalon,NG-476314,2016," 48,655 Km",Nigerian Used,"₦ 4,610,000"
5eb697b7bbb13e40ab83656b,,,,,,
5eb697b7bbb13e40ab83656c,2006 Kia Sorento,NG-476308,2006," 177,034 Km",Nigerian Used,"₦ 240,000"
5eb697b8bbb13e40ab83656d,2000 Honda Cr-V,NG-476300,2000," 202,452 Km",Nigerian Used,"₦ 343,500"
5eb697b8bbb13e40ab83656e,2006 Kia Sportage,NG-476164,2006," 158,025 Km",Nigerian Used,"₦ 562,000"
5eb697b8bbb13e40ab83656f,1997 Chrysler Town & Country,NG-475988,1997," 169,778 Km",Nigerian Used,"₦ 412,500"
5eb697b9bbb13e40ab836570,1999 Honda Cr-V,NG-474858,1999," 158,358 Km",Nigerian Used,"₦ 585,000"
5eb697b9bbb13e40ab836571,2005 Acura Mdx,NG-474708,2005," 121,929 Km",Nigerian Used,"₦ 1,010,500"
5eb697b9bbb13e40ab836572,1998 Volkswagen Passat,NG-425251,1998," 306,748 Km",Nigerian Used,"₦ 471,500"
